,Unnamed: 0,Планир. завод,ГрупПлановик,Сообщение,Вид заказа,Вид работы ТОРО,ВремяРемПростояЗкз,БазисСрокНачала,БазисСрокКонца,Заказ,Ссылочная дата,Ссылочное время,Дата изменения,Рабочее место,Резерв./заявка,Тип заказа,ПроизвУчасток,БЕ,Дата ввода,ПоказанСчетчика,Факт. деблокир.,ФактичСрокКонца,Факт.окончание,Общий расчет,ОбщЗатраты/факт,ОбщЗатраты/план,ЗапланКонец,БазисВремяКонца,Конец: время,Бизнес-сфера,ФактСрокНачала,ЗапланНачало,ФактНчл/Врем,Время начала,Время начала.1,История с,СхемаКальк,ТоргДокумент,Позиция,КЕ,Ответств. МВЗ,Ведущий заказ,Метка удаления,ДатаЗаверш,ЕстьПодробТекст,ВышестоящЗаказ,Базисная ЕИ,Количество,Помещение,Имя списка,Плановая дата,Номер объекта,СписОбъект,ГрПлан/Техкарта,ИндПланирЗаказа,СчтГрупТехкарт,Группа,Почтовый индекс,МВП,Приоритет,СПП-элемент,Регион,Ревизия,Серийный номер,Материал,НазвСервПродукт,СервиснПродукт,Сектор,Сектор - Сбыт,Местоположение,Улица,ЗаводРасплТехОб,ПредварЗатраты,ПользовСтатус,Группа сбыта,СбытовОрганизац,СбытовОрганизац - Сб,ВышестОперация,Канал сбыта,Канал сбыта - Сбыт,Валюта,ПозПредупрТОРО,ПланПредупрТОРО,Завод,Код надбавки,Ид. причины,Причина корр-ки,ИндНаличПрикрДокум,ИмеютсяНеСоглЗапросы,ПериодРемCAPEX(мес),Класс ЕО,ПрочиеФакт,ПрочиеПлан,БюджетФактИтог,БюджетПланИтог,МТР ФактИтог,МТР ПланИтог,Стоимость новой ЕО,ТЗРФакт,ТЗРПлан,ОбщееВремяПростояЗкз,ОборудованиеНаГарант,Инд. статуса «ФИКС»,Отв. сотрудн. таб. №,НаименованиеКлассаЕО,МТРподр,НеобходимНарядДопуск,СтатВыдачиРазрешений,СистСтатСообщТОРО,КапитализирРемонт,Исходная стоимость,Дефицит,Требуемая стоимость,СППДефицит,%СтоимРемФСтоимНовЕО,%СтоимРемПСтоимНовЕО,СистСтатус,ВремяРемПростояТК,ОбщееВремяПростояТК,ВремяТехнПростояТК,Заказано УСО,Описание,Краткий текст,СистемнСтатус,Отв. сотрудник ФИО,ПользСтатус,ОбщСумма (План),ОбщаяСумма(Фкт),ФОТПлан,ФОТФакт,МатериалыПлан,МатериалыФакт,ЗапчастиПлан,ЗапчастиФакт,УСОПоРемонтуПлан,УСОПоРемонтуФакт,Ед. оборудов.,Техместо,Описание.1,СПП-ЗаголЗаказа,Отв. раб.место,МВЗ,ВремяТехнПростояЗкз,Фактический простой,Принято УСО,ПредвЗарегистрирУСО,user_status,utvg,tkbe,utvm
29865,29865,1100,100.0,7200145005.0,APP1,ТО2,2.0,2022-01-05,2022-01-05,1100319529,2022-01-09,00:41:33,2022-01-09,,3,30,,1100,2020-11-27,,2022-01-09,2022-01-05,17:00:00,0,15127.98,17861.43,2022-01-05,17:00:00,17:00:00,,2022-01-05,2022-01-05,15:00:00,15:00:00,15:00:00,,PP-PC1,,0,1000,1114071123.0,,,,,,,0,7801.0,,,OR001100319529,395 518,,1.0,,,,ZZ00005000,,,,,,,,,,,,,1105,0,СГГС ГИП  ГОД  МЕС  МТРЦ НЕД  ПЗТГ УТВГ*,,,,,,,RUB,,,1100,,,,,,0,E05_01,0,0,5332.1,8065.55,5332.1,8065.55,6844246.11,0.0,0,2.0,,,,Бульдозеры колесные,,,0. Разрешений нет,СОЗА ЗКПР ВСМИ,,0.0,0.0,0.0,,0,0,ТЗКР ПДТВ ПКАЛ ПРВВ СРНА ДВМА ДМНП JBFI,0.0,0.0,0,0.0,Бульдозер К-702МБА-01-БКУ №801,ТО2 Бульдозер К-702МБА-01-БКУ №801,ТЗКР ПДТВ JBFI ДВМА ДМНП ПКАЛ ПРВВ СРНА,,СГГС ГОД УТВГ МЕС УТВМ НЕД ГИП МТРЦ ПЗТГ,17861.43,15127.98,9795.88,9795.88,7113.3,4825.2,952.25,506.9,0.0,0.0,100000065960.0,11-RUD-CGTR-SETT-UDOT-BZ19,Бульдозер колесный №801,LT-1100-2022-2-010-02,C-CRGOTT,1114021123,0,2.0,0.0,0.0,"['СГГС', 'ГИП', '', 'ГОД', '', 'МЕС', '', 'МТРЦ', 'НЕД', '', 'ПЗТГ', 'УТВГ*']",0,0,0
21437,21437,1100,100.0,7100622743.0,APP1,ТО2,4.46,2022-01-05,2022-01-05,1100631114,2022-01-09,19:06:50,2022-01-09,11200239.0,3,30,,1100,2021-12-14,,2022-01-05,2022-01-05,22:09:36,0,102579.1,133881.89,2022-01-05,22:09:00,22:09:36,,2022-01-05,2022-01-05,17:42:00,17:42:00,17:42:00,,PP-PC1,,0,1000,,,,2022-01-09,,,,0,,,2022-01-01,OR001100631114,872 522,100.0,1.0,О2,A0000003,,ZZ00005000,3.0,,,,,,,,,,11050410.0,,1105,0,СГГС МЕС  МТРЦ НЕД  ПЗТГ СРОЧ УТВМ,,,,,,,RUB,158898.0,100000058348.0,1100,,,,,,0,E01_01,0,0,64277.3,95580.09,64277.3,95580.09,49006288.83,0.0,0,4.46,,,,Самосвалы карьерные,,,0. Разрешений нет,СОЗА ЗКПР ВСМИ,,0.0,0.0,0.0,,0,0,ТЗКР ПДТВ ПКАЛ ПРВВ ДВМА ДМНП JBFI,10.0,10.0,0,0.0,Самосвал карьерный HD785-5 №239,ТО2 Самосвал карьерный HD785-5 №239,ТЗКР ПДТВ JBFI ДВМА ДМНП ПКАЛ ПРВВ,,СГГС МЕС УТВМ НЕД СРОЧ МТРЦ ПЗТГ,133881.89,102579.1,38301.8,38301.8,67947.29,45702.2,27632.8,18575.1,0.0,0.0,100000065564.0,11-RUD-CGTR-SEBT-KH18,Самосвал карьерный №239,LT-1100-2022-2-012-02,C-CRGTOV,1113011220,0,4.46,0.0,0.0,"['СГГС', 'МЕС', '', 'МТРЦ', 'НЕД', '', 'ПЗТГ', 'СРОЧ', 'УТВМ']",0,0,1
2198,2198,1100,100.0,7100386056.0,APP1,ТО1,1.0,2022-01-05,2022-01-05,1100384269,2022-01-05,17:00:00,2022-01-24,39333809.0,2,30,,1100,2021-04-02,,,,00:00:00,0,0.0,16399.99,2022-01-05,18:00:00,18:00:00,,,2022-01-05,00:00:00,17:00:00,17:00:00,,PP-PC1,,0,1000,,,,,,,,0,108780.0,,2022-01-05,OR001100384269,504 816,100.0,1.0,О1,A0004087,,ZZ00005000,3.0,,,,,,,,,,,,1105,0,СГГС ГИП  ГОД  МЕС  МТРЦ УТВМ,,,,,,,RUB,151639.0,100000054688.0,1100,,,,,,0,E05_01,0,0,0.0,11502.05,0.0,11502.05,8794053.86,0.0,0,1.0,,,,Бульдозеры колесные,,,0. Разрешений нет,СОРА ЗКПР ВСМИ,,0.0,0.0,0.0,,0,0,ОТКР ПКАЛ ДМНП,7.0,7.0,0,0.0,Бульдозер К-703МА-ДМ-15 №3809,ТО1 Бульдозер К-703МА-ДМ-15 №3809,ОТКР ДМНП ПКАЛ,,СГГС ГОД МЕС УТВМ ГИП МТРЦ,16399.99,0.0,4897.94,0.0,9484.4,0.0,2017.65,0.0,0.0,0.0,100000026797.0,11-RUD-CGTR-SETT-UDOT-BZ13,Бульдозер колесный №3809,LT-1100-2022-2-010-02,C-CRGOTT,1114021123,0,1.0,0.0,0.0,"['СГГС', 'ГИП', '', 'ГОД', '', 'МЕС', '', 'МТРЦ', 'УТВМ']",0,0,1
7886,7886,1100,100.0,7100321530.0,APP1,ТО1,2.0,2022-01-05,2022-01-05,1100318620,2022-01-05,11:00:00,2022-01-24,,2,30,,1100,2020-11-27,,,,00:00:00,0,0.0,43094.56,2022-01-05,13:00:00,13:00:00,,,2022-01-05,00:00:00,11:00:00,11:00:00,,PP-PC1,,0,1000,,,,,,,,0,236016.0,,,OR001100318620,394 608,,1.0,,,,ZZ00005000,,,,,,,,,,,,,1105,0,ПЛАН ГИП  ГОД  МЕС  МТРЦ ПЗТГ УТВГ УТВМ,,,,,,,RUB,,,1100,,,,,,0,E05_02,0,0,0.0,33298.68,0.0,33298.68,376033.2,0.0,0,2.0,,,,Бульдозеры гусеничные,,,0. Разрешений нет,СОРА ЗКПР ВСМИ,,0.0,0.0,0.0,,0,11,ОТКР ПКАЛ ДМНП,0.0,0.0,0,0.0,Бульдозер D65PX-16 №3309,ТО1 Бульдозер D65EX-16 №3309,ОТКР ДМНП ПКАЛ,,ПЛАН ГОД УТВГ МЕС УТВМ ГИП МТРЦ ПЗТГ,43094.56,0.0,9795.88,0.0,10195.73,0.0,23102.95,0.0,0.0,0.0,100000055032.0,11-RUD-CGTR-SETT-UCTT-BZ35,Бульдозер гусеничный №3309,LT-1100-2022-2-006-02,C-CRGOTT,1114011223,0,2.0,0.0,0.0,"['ПЛАН', 'ГИП', '', 'ГОД', '', 'МЕС', '', 'МТРЦ', 'ПЗТГ', 'УТВГ', 'УТВМ']",1,0,1
6730,6730,1100,100.0,7100378964.0,APP1,ТО2,4.92,2022-01-05,2022-01-06,1100377964,2022-01-19,13:00:20,2022-01-19,11810780.0,3,30,,1100,2021-03-24,,2022-01-19,2022-01-06,02:27:12,0,329949.44,359634.29,2022-01-06,02:27:00,02:27:12,,2022-01-05,2022-01-05,21:32:00,21:32:00,21:32:00,,PP-PC1,,0,1000,1113071123.0,,,2022-01-19,,,,0,235977.0,,2022-02-15,OR001100377964,493 529,100.0,1.0,,,,ZZ00005000,3.0,,,,,,,,,,,,1105,0,СГГС ГОД  МЕС  МТРЦ НЕД  ПЗТГ СРОЧ УТВМ,,,,,,,RUB,153785.0,100000055629.0,1100,,,,,,0,E01_01,0,0,246536.64,276221.49,246536.64,276221.49,0.0,0.0,0,4.92,,,,Самосвалы карьерные,,,0. Разрешений нет,СОЗА ЗКПР ВСМИ,,0.0,0.0,0.0,,0,0,ТЗКР ПДТВ ПКАЛ ПРВВ СРНА ДВМА ДМНП JBFI,0.0,0.0,0,0.0,Самосвал карьерный 793D №780,ТО2 Самосвал карьерный 793D №780,ТЗКР ПДТВ JBFI ДВМА ДМНП ПКАЛ ПРВВ СРНА,,СГГС ГОД МЕС УТВМ НЕД СРОЧ МТРЦ ПЗТГ,359634.29,329949.44,83412.8,83412.8,141104.69,96809.68,135116.8,149726.96,0.0,0.0,100000054996.0,11-RUD-CGTR-SEBT-CD79,Самосвал карьерный №780,LT-1100-2022-2-012-02,C-CRGTOV,1113011920,0,5.92,0.0,0.0,"['СГГС', 'ГОД', '', 'МЕС', '', 'МТРЦ', 'НЕД', '', 'ПЗТГ', 'СРОЧ', 'УТВМ']",0,0,1
31259,31259,1100,100.0,7100577716.0,APP1,ТО1,4.25,2022-01-05,2022-01-05,1100587019,2022-01-04,11:37:31,2022-01-04,11400446.0,2,30,,1100,2021-12-08,,,,00:00:00,0,0.0,107813.1,2022-01-05,13:15:00,13:03:00,,,2022-01-05,00:00:00,09:00:00,09:00:00,,PP-PC1,,0,1000,,,,2022-01-04,,,,0,,,2022-01-01,OR001100587019,823 166,100.0,1.0,О1,A0000001,,,3.0,,,,,,,,,,11050111.0,,1105,0,СГГС МЕС  МТРЦ НЕД  ПЗТГ СРОЧ УТВМ,,,,,,,RUB,160603.0,100000059411.0,1100,,,,,,0,E01_01,0,0,0.0,107813.1,0.0,107813.1,115017320.78,0.0,0,4.25,,,,Самосвалы карьерные,,,0. Разрешений нет,СОЗА ЗКПР МТКУ,,0.0,0.0,0.0,,0,0,ЗАКР НЕВЫ ПКАЛ ДМНП,4.25,4.25,0,0.0,Самосвал карьерный 785C №446,Техническое обслуживание 1,ЗАКР ДМНП НЕВЫ ПКАЛ,,СГГС МЕС УТВМ НЕД СРОЧ МТРЦ ПЗТГ,107813.1,0.0,0.0,0.0,57340.6,0.0,50472.5,0.0,0.0,0.0,100000065977.0,11-RUD-CGTR-SEBT-CC45,Самосвал карьерный №446,LT-1100-2022-2-012-02,C-OGM,1113011620,0,0.0,0.0,0.0,"['СГГС', 'МЕС', '', 'МТРЦ', 'НЕД', '', 'ПЗТГ', 'СРОЧ', 'УТВМ']",0,0,1
18652,18652,1100,100.0,7100382495.0,APP1,ТР,42.0,2022-01-05,2022-01-07,1100381495,2022-01-05,09:00:00,2021-12-30,11810704.0,2,30,,1100,2021-03-31,,,,00:00:00,0,0.0,297902.85,2022-01-06,03:00:00,20:00:00,,,2022-01-05,00:00:00,09:00:00,09:00:00,,PP-PC1,,0,1000,,,,,,,,0,7285.0,,2022-01-05,OR001100381495,500 331,100.0,1.0,ТР,A0003596,,,3.0,,,,,,,,,,,,1105,0,СГГС ГИП  ГОД  МЕС  НЕД  ПЗТГ ТКБЕ УТВМ*,,,,,,,RUB,163644.0,100000061133.0,1100,,,,,,0,E01_01,0,0,0.0,0.0,0.0,0.0,98403663.92,0.0,0,42.0,,,,Самосвалы карьерные,,,0. Разрешений нет,СОРА ЗКПР,,0.0,0.0,0.0,,0,0,ОТКР ПКАЛ ДМНП KKMP,35.0,35.0,0,0.0,Самосвал карьерный 793D №704,ТР самосвала 793D,ОТКР KKMP ДМНП ПКАЛ,,СГГС ГОД УТВП МЕС УТВМ НЕД ГИП ТКБЕ ПЗТГ,297902.85,0.0,297902.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100000065517.0,11-RUD-CGTR-SEBT-CD04,Самосвал карьерный №704,LT-1100-2022-2-012-02,C-OGM,1113011920,0,0.0,0.0,0.0,"['СГГС', 'ГИП', '', 'ГОД', '', 'МЕС', '', 'НЕД', '', 'ПЗТГ', 'ТКБЕ', 'УТВМ*']",0,1,0
12205,12205,1100,100.0,7100439631.0,APP1,ТР,32.0,2022-01-05,2022-01-06,1100439345,2022-01-05,09:00:00,2021-12-28,16010502.0,2,30,,1100,2021-05-18,,,,00:00:00,0,0.0,25117.73,2022-01-06,17:00:00,17:00:00,,,2022-01-05,00:00:00,09:00:00,09:00:00,,PP-PC1,,0,1000,,,,,,,,0,32601.0,,2022-01-05,OR001100439345,578 198,100.0,1.0,ТР,A0000959,,,3.0,,,,,,,,,,,,1105,0,СГГС ГИП  ГОД  МЕС  МТРЦ СРОЧ ТКБЕ УТВМ*,,,,,,,RUB,164266.0,100000061506.0,1100,,,,,,0,E17_11,0,0,0.0,25117.73,0.0,25117.73,6476103.04,0.0,0,32.0,,,,Погрузчики фронтальные,,,0. Разрешений нет,СОРА ЗКПР,,0.0,0.0,0.0,,0,0,ОТКР ПКАЛ ДМНП,32.0,32.0,0,0.0,Погрузчик фронтальный WA500-3 №502,ТР погрузчика WA500,ОТКР ДМНП ПКАЛ,,СГГС ГОД УТВП МЕС УТВМ ГИП СРОЧ МТРЦ ТКБЕ,25117.73,0.0,0.0,0.0,303.33,0.0,24814.4,0.0,0.0,0.0,100000059033.0,11-RUD-CGTR-SETT-UCTT-LF25,Погрузчик фронтальный №502,LT-1100-2022-2-006-02,C-OGM,1114011523,0,0.0,0.0,0.0,"['СГГС', 'ГИП', '', 'ГОД', '', 'МЕС', '', 'МТРЦ', 'СРОЧ', 'ТКБЕ', 'УТВМ*']",0,1,0
16035,16035,1100,100.0,7100380445.0,APP1,ТО1,5.2,2022-01-05,2022-01-05,1100379465,2022-01-10,19:59:26,2022-01-10,11400430.0,3,30,,1100,2021-03-24,,2021-09-30,2022-01-05,21:52:00,0,94594.67,110620.71,2022-01-05,21:52:00,20:00:00,,2022-01-05,2022-01-05,16:40:00,16:40:00,18:38:11,,PP-PC1,,0,1000,,,,2022-01-10,,,,0,5205.0,,2022-04-13,OR001100379465,495 531,100.0,1.0,О1,A0000001,,ZZ00005000,3.0,,,,,,,,,,,,1105,0,СГГС ГИП  ГОД  МЕС  МТРЦ НЕД  ПЗТГ СРОЧ*,,,,,,,RUB,157034.0,100000057330.0,1100,,,,,,0,E01_01,0,0,86083.16,102109.2,86083.16,102109.2,63976361.65,0.0,0,5.2,,,,Самосвалы карьерные,,,0. Разрешений нет,СОЗА ЗКПР ВСМИ,,0.0,0.0,0.0,,0,0,ТЗКР ПДТВ ПКАЛ ПРВВ ДВМА ДМНП JBFI,4.25,4.25,0,0.0,Самосвал карьерный 785C №430,ТО1 Самосвал карьерный 785C №430,ТЗКР ПДТВ JBFI ДВМА ДМНП ПКАЛ ПРВВ,,СГГС ГОД УТВГ УТВП МЕС УТВМ НЕД ГИП СРОЧ МТРЦ ТКБЕ ПЗТГ,110620.71,94594.67,8511.51,8511.51,62410.45,42204.16,39698.75,43879.0,0.0,0.0,100000062384.0,11-RUD-CGTR-SEBT-CC29,Самосвал карьерный №430,LT-1100-2022-2-012-02,C-CRGTOV,1113011620,0,5.19,0.0,0.0,"['СГГС', 'ГИП', '', 'ГОД', '', 'МЕС', '', 'МТРЦ', 'НЕД', '', 'ПЗТГ', 'СРОЧ*']",0,0,0
14879,14879,1100,100.0,7100575999.0,APP1,ТО1,4.25,2022-01-05,2022-01-05,1100585281,2022-01-04,11:46:14,2022-01-04,11400405.0,2,30,,1100,2021-12-07,,,,00:00:00,0,0.0,107813.1,2022-01-05,13:15:00,13:03:00,,,2022-01-05,00:00:00,09:00:00,09:00:00,,PP-PC1,,0,1000,,,,2022-01-04,,,,0,,,2022-01-01,OR001100585281,821 307,100.0,1.0,О1,A0000001,,,3.0,,,,,,,,,,11050111.0,,1105,0,СГГС МЕС  МТРЦ НЕД  ПЗТГ СРОЧ УТВМ,,,,,,,RUB,156800.0,100000057174.0,1100,,,,,,0,E01_01,0,0,0.0,107813.1,0.0,107813.1,87178645.88,0.0,0,4.25,,,,Самосвалы карьерные,,,0. Разрешений нет,СОЗА ЗКПР МТКУ,,0.0,0.0,0.0,,0,0,ЗАКР НЕВЫ ПКАЛ ДМНП,4.25,4.25,0,0.0,Самосвал карьерный 785C №405,Техническое обслуживание 1,ЗАКР ДМНП НЕВЫ ПКАЛ,,СГГС МЕС УТВМ НЕД СРОЧ МТРЦ ПЗТГ,107813.1,0.0,0.0,0.0,57340.6,0.0,50472.5,0.0,0.0,0.0,100000062371.0,11-RUD-CGTR-SEBT-CC05,Самосвал карьерный №405,LT-1100-2022-2-012-02,C-OGM,1113011620,0,0.0,0.0,0.0,"['СГГС', 'МЕС', '', 'МТРЦ', 'НЕД', '', 'ПЗТГ', 'СРОЧ', 'УТВМ']",0,0,1
7982,7982,1100,100.0,7100321377.0,APP1,ТО2,2.9,2022-01-05,2022-01-05,1100318467,2021-12-25,05:09:21,2021-12-25,,2,30,,1100,2020-11-27,,,,00:00:00,0,0.0,35265.17,2022-01-05,02:54:00,02:54:00,,,2022-01-05,00:00:00,00:00:00,00:00:00,,PP-PC1,,0,1000,,,X,,,,,0,236019.0,,,OR001100318467,394 455,,1.0,,,,,,,,,,,,,,,,,1105,0,СГПЛ ГИП  ГОД  МЕС  ПЗТГ УТВГ УТВМ,,,,,,,RUB,,,1100,,,,,,0,E05_02,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,2.9,,,,Бульдозеры гусеничные,,,0. Разрешений нет,СОЗА ЗКПР МТКУ,,0.0,0.0,0.0,,0,0,ЗАКР НЕВЫ ПКАЛ МТКУ ДМНП KKMP,0.0,0.0,0,0.0,Бульдозер D65EX-16 №3317,ТО2 Бульдозер D65EX-16 №3317,ЗАКР KKMP ДМНП МТКУ НЕВЫ ПКАЛ,,СГПЛ ГОД УТВГ МЕС УТВМ ГИП ПЗТГ,35265.17,0.0,35265.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100000055035.0,11-RUD-CGTR-SETT-UCTT-BZ43,Бульдозер гусеничный №3317,LT-1100-2022-2-006-02,C-OGM,1114011223,0,0.0,0.0,0.0,"['СГПЛ', 'ГИП', '', 'ГОД', '', 'МЕС', '', 'ПЗТГ', 'УТВГ', 'УТВМ']",1,0,1
8917,8917,1100,100.0,7100320781.0,APP1,ТО1,2.3,2022-01-05,2022-01-05,1100317871,2021-12-25,10:01:02,2021-12-25,,2,30,,1100,2020-11-27,,,,00:00:00,0,0.0,26448.88,2022-01-05,02:18:00,02:18:00,,,2022-01-05,00:00:00,00:00:00,00:00:00,,PP-PC1,,0,1000,,,X,,,,,0,32449.0,,,OR001100317871,393 859,,1.0,,,,,,,,,,,,,,,,,1105,0,ПЛАН ГИП  ГОД  КОРР МЕС  ПЗТГ УТВГ УТВМ,,,,,,,RUB,,,1100,,,,,,0,E05_02,0,0,0.0,0.0,0.0,0.0,24707213.78,0.0,0,2.3,,,,Бульдозеры гусеничные,,,0. Разрешений нет,СОЗА ЗКПР МТКУ,,0.0,0.0,0.0,,0,0,ЗАКР НЕВЫ ПКАЛ МТКУ ДМНП KKMP,0.0,0.0,0,0.0,Бульдозер D375A-5 №43,ТО1 Бульдозер Komatsu D375А-5 №43,ЗАКР KKMP ДМНП МТКУ НЕВЫ ПКАЛ,,ПЛАН ГОД УТВГ МЕС УТВМ ГИП КОРР ПЗТГ,26448.88,0.0,26448.88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100000058901.0,11-RUD-CGTR-SETT-UCTT-BZ50,Бульдозер гусеничный №43,,C-OGM,1114011123,0,0.0,0.0,0.0,"['ПЛАН', 'ГИП', '', 'ГОД', '', 'КОРР', 'МЕС', '', 'ПЗТГ', 'УТВГ', 'УТВМ']",1,0,1
8722,8722,1100,100.0,7100320434.0,APP1,ТО1,2.3,2022-01-05,2022-01-05,1100317524,2021-12-25,09:36:52,2021-12-25,,2,30,,1100,2020-11-27,,,,00:00:00,0,0.0,26448.88,2022-01-05,02:18:00,02:18:00,,,2022-01-05,00:00:00,00:00:00,00:00:00,,PP-PC1,,0,1000,,,X,,,,,0,32447.0,,,OR001100317524,393 512,,1.0,,,,,,,,,,,,,,,,,1105,0,СГПЛ ГИП  ГОД  МЕС  ПЗТГ УТВГ УТВМ,,,,,,,RUB,,,1100,,,,,,0,E05_02,0,0,0.0,0.0,0.0,0.0,37282780.29,0.0,0,2.3,,,,Бульдозеры гусеничные,,,0. Разрешений нет,СОЗА ЗКПР МТКУ,,0.0,0.0,0.0,,0,0,ЗАКР НЕВЫ ПКАЛ МТКУ ДМНП KKMP,0.0,0.0,0,0.0,Бульдозер D375A-5 №39,ТО1 Бульдозер Komatsu D375А-5 №39,ЗАКР KKMP ДМНП МТКУ НЕВЫ ПКАЛ,,СГПЛ ГОД УТВГ МЕС УТВМ ГИП ПЗТГ,26448.88,0.0,26448.88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100000058899.0,11-RUD-CGTR-SETT-UCTT-BZ48,Бульдозер гусеничный №39,LT-1100-2022-2-006-02,C-OGM,1114011123,0,0.0,0.0,0.0,"['СГПЛ', 'ГИП', '', 'ГОД', '', 'МЕС', '', 'ПЗТГ', 'УТВГ', 'УТВМ']",1,0,1
30381,30381,1100,100.0,7100381160.0,APP1,ТО2,6.1,2022-01-05,2022-01-05,1100380180,2021-12-05,09:39:46,2021-12-05,11400423.0,3,30,,1100,2021-03-24,,2021-09-30,,00:00:00,0,0.0,149645.78,2022-01-05,15:06:00,15:06:00,,,2022-01-05,00:00:00,09:00:00,09:00:00,,PP-PC1,,0,1000,,,X,2021-12-05,,,,0,7809.0,,2022-01-05,OR001100380180,496 328,100.0,1.0,О2,A0000001,,,3.0,,,,,,,,,,,,1105,0,СГГС ГИП  ГОД  МТРЦ СРОЧ ТКБЕ УТВП,,,,,,,RUB,160424.0,100000059291.0,1100,,,,,,0,E01_01,0,0,0.0,95172.15,0.0,95172.15,66635130.24,0.0,0,6.1,,,,Самосвалы карьерные,,,0. Разрешений нет,СОЗА ЗКПР МТКУ,,0.0,0.0,0.0,,0,0,ЗАКР ПКАЛ ПРВВ МТКУ ДМНП,6.1,6.1,0,0.0,Самосвал карьерный 785C №423,Техническое обслуживание 2,ЗАКР ДМНП МТКУ ПКАЛ ПРВВ,,СГГС ГОД УТВП ГИП СРОЧ МТРЦ ТКБЕ,149645.78,0.0,54473.63,0.0,44699.65,0.0,50472.5,0.0,0.0,0.0,100000065967.0,11-RUD-CGTR-SEBT-CC22,Самосвал карьерный №423,LT-1100-2022-2-012-02,C-OGM,1113011620,0,0.0,0.0,0.0,"['СГГС', 'ГИП', '', 'ГОД', '', 'МТРЦ', 'СРОЧ', 'ТКБЕ', 'УТВП']",0,1,0
6410,6410,1100,100.0,7100383433.0,APP1,ТР,44.0,2022-01-05,2022-01-07,1100382415,2022-01-05,09:00:00,2021-12-30,11810766.0,2,30,,1100,2021-03-31,,,,00:00:00,0,0.0,297902.85,2022-01-06,05:00:00,20:00:00,,,2022-01-05,00:00:00,09:00:00,09:00:00,,PP-PC1,,0,1000,,,,,,,,0,235963.0,,2022-01-05,OR001100382415,501 170,100.0,1.0,ТР,A0003596,,,3.0,,,,,,,,,,,,1105,0,СГГС ГИП  ГОД  МЕС  НЕД  ПЗТГ ТКБЕ УТВМ*,,,,,,,RUB,163740.0,100000061229.0,1100,,,,,,0,E01_01,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,44.0,,,,Самосвалы карьерные,,,0. Разрешений нет,СОРА ЗКПР,,0.0,0.0,0.0,,0,0,ОТКР ПКАЛ ДМНП KKMP,35.0,35.0,0,0.0,Самосвал карьерный 793D №766,ТР самосвала 793D,ОТКР KKMP ДМНП ПКАЛ,,СГГС ГОД УТВП МЕС УТВМ НЕД ГИП ТКБЕ ПЗТГ,297902.85,0.0,297902.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100000054982.0,11-RUD-CGTR-SEBT-CD65,Самосвал карьерный №766,LT-1100-2022-2-012-02,C-OGM,1113011920,0,0.0,0.0,0.0,"['СГГС', 'ГИП', '', 'ГОД', '', 'МЕС', '', 'НЕД', '', 'ПЗТГ', 'ТКБЕ', 'УТВМ*']",0,1,0
29968,29968,1100,100.0,7100322472.0,APP1,ТО1,1.0,2022-01-05,2022-01-05,1100319562,2022-01-05,15:00:00,2022-01-24,,2,30,,1100,2020-11-27,,,,00:00:00,0,0.0,17329.51,2022-01-05,16:00:00,16:00:00,,,2022-01-05,00:00:00,15:00:00,15:00:00,,PP-PC1,,0,1000,,,,,,,,0,7802.0,,,OR001100319562,395 551,,1.0,,,,ZZ00005000,,,,,,,,,,,,,1105,0,СГГС ГИП  ГОД  МЕС  МТРЦ ПЗТГ УТВГ УТВМ,,,,,,,RUB,,,1100,,,,,,0,E05_01,0,0,0.0,12431.57,0.0,12431.57,7943140.13,0.0,0,1.0,,,,Бульдозеры колесные,,,0. Разрешений нет,СОРА ЗКПР ВСМИ,,0.0,0.0,0.0,,0,0,ОТКР ПКАЛ ДМНП,0.0,0.0,0,0.0,Бульдозер К-702МБА-01-БКУ №807,ТО1 Бульдозер К-702МБА-01-БКУ №807,ОТКР ДМНП ПКАЛ,,СГГС ГОД УТВГ МЕС УТВМ ГИП МТРЦ ПЗТГ,17329.51,0.0,4897.94,0.0,9484.4,0.0,2947.17,0.0,0.0,0.0,100000065961.0,11-RUD-CGTR-SETT-UDOT-BZ24,Бульдозер колесный №807,LT-1100-2022-2-010-02,C-CRGOTT,1114021123,0,1.0,0.0,0.0,"['СГГС', 'ГИП', '', 'ГОД', '', 'МЕС', '', 'МТРЦ', 'ПЗТГ', 'УТВГ', 'УТВМ']",1,0,1
