,Unnamed: 0_x,teh_mesto,Название технического места,level_upper,code,level_1,level_2,level_3,level_4,level_5,level_6,level_7,level_8,Unnamed: 0_y,ЗаводРасплТехОб,Ед. оборудов.,Описание,ГрупПлановик,Поле сортировки,Описание.1,МВЗ,Тип ЕО,ДатаВводЭкспл,СПП-элемент,Завод
15,22151,11-RUD-BLAG-UGBL-E101,Экскаватор электрический №22,11-RUD-BLAG-UGBL-EG10,first11-RUD-BLAG-UGBL-E101,first11,RUD,BLAG,UGBL,no_data,no_data,no_data,no_data,61171,1105,100000043449,Редуктор механизма поворота,100.0,22,Экскаватор электрический №22,1114011123.0,O,2007-12-31,,
16,22151,11-RUD-BLAG-UGBL-E101,Экскаватор электрический №22,11-RUD-BLAG-UGBL-EG10,first11-RUD-BLAG-UGBL-E101,first11,RUD,BLAG,UGBL,no_data,no_data,no_data,no_data,61172,1105,100000043473,Редуктор ходового механизма левый,100.0,22,Экскаватор электрический №22,1114011123.0,O,2007-12-31,,
17,22151,11-RUD-BLAG-UGBL-E101,Экскаватор электрический №22,11-RUD-BLAG-UGBL-EG10,first11-RUD-BLAG-UGBL-E101,first11,RUD,BLAG,UGBL,no_data,no_data,no_data,no_data,61175,1105,100000043495,Редуктор ходового механизма правый,100.0,22,Экскаватор электрический №22,1114011123.0,O,2007-12-31,,
18,22151,11-RUD-BLAG-UGBL-E101,Экскаватор электрический №22,11-RUD-BLAG-UGBL-EG10,first11-RUD-BLAG-UGBL-E101,first11,RUD,BLAG,UGBL,no_data,no_data,no_data,no_data,61177,1105,100000043517,Рукоять,100.0,22,Экскаватор электрический №22,1118011223.0,O,2008-02-19,,
19,22151,11-RUD-BLAG-UGBL-E101,Экскаватор электрический №22,11-RUD-BLAG-UGBL-EG10,first11-RUD-BLAG-UGBL-E101,first11,RUD,BLAG,UGBL,no_data,no_data,no_data,no_data,61179,1105,100000043546,Стрела,100.0,22,Экскаватор электрический №22,1114011123.0,O,2007-12-31,,
20,22151,11-RUD-BLAG-UGBL-E101,Экскаватор электрический №22,11-RUD-BLAG-UGBL-EG10,first11-RUD-BLAG-UGBL-E101,first11,RUD,BLAG,UGBL,no_data,no_data,no_data,no_data,61181,1105,100000043668,Ковш,100.0,22,Экскаватор электрический №22,1118011223.0,O,2008-02-19,,
21,22155,11-RUD-BLAG-UGBL-E102,Экскаватор электрический №28,11-RUD-BLAG-UGBL-EG10,first11-RUD-BLAG-UGBL-E102,first11,RUD,BLAG,UGBL,no_data,no_data,no_data,no_data,43570,1105,100000043285,Генератор постоянного тока,200.0,28,Экскаватор электрический №28,1112011420.0,O,2012-01-31,,
22,22155,11-RUD-BLAG-UGBL-E102,Экскаватор электрический №28,11-RUD-BLAG-UGBL-EG10,first11-RUD-BLAG-UGBL-E102,first11,RUD,BLAG,UGBL,no_data,no_data,no_data,no_data,43571,1105,100000043313,Генератор привода поворота,200.0,28,Экскаватор электрический №28,1112011420.0,O,2012-01-31,,
23,22155,11-RUD-BLAG-UGBL-E102,Экскаватор электрический №28,11-RUD-BLAG-UGBL-EG10,first11-RUD-BLAG-UGBL-E102,first11,RUD,BLAG,UGBL,no_data,no_data,no_data,no_data,43572,1105,100000043341,Генератор привода подъема,200.0,28,Экскаватор электрический №28,1112011420.0,O,2012-01-31,,
24,22155,11-RUD-BLAG-UGBL-E102,Экскаватор электрический №28,11-RUD-BLAG-UGBL-EG10,first11-RUD-BLAG-UGBL-E102,first11,RUD,BLAG,UGBL,no_data,no_data,no_data,no_data,43573,1105,100000043369,Генератор привода тяги,200.0,28,Экскаватор электрический №28,1112011420.0,O,2012-01-31,,
